ID,Song Name,Band,Instrumentation,Genre,Acoustic vs Electronic,Gender Voice,Bpm,YT Link
1,"Ai, Dolors",Manel,5,Pop,Acoustic,Male,130,https://www.youtube.com/watch?v=QUU_QC0iNi0&list=PLnZVsiURaeKCBBkuh7O52_q41Oo77ehYt&index=3&ab_channel=Manel
2,Roma,Manel,5,Pop,Acoustic,Male & Female,100,https://www.youtube.com/watch?v=Yjzjvijvd0k&list=PLnZVsiURaeKCBBkuh7O52_q41Oo77ehYt&index=6&ab_channel=Manel
3,Al mar!,Manel,5,Pop,Acoustic,Male,150,https://www.youtube.com/watch?v=IKtzww4RFDc&list=PLnZVsiURaeKCBBkuh7O52_q41Oo77ehYt&index=8&ab_channel=Manel
4,Els guapos són els raros,Manel,5,Pop,Acoustic,Male,75,https://www.youtube.com/watch?v=mtTO1FvcNw4&list=PLnZVsiURaeKCBBkuh7O52_q41Oo77ehYt&index=9&ab_channel=Manel
5,Dona estrangera,Manel,5,Pop,Acoustic,Male,120,https://www.youtube.com/watch?v=eieGq5l4bVk&list=PLnZVsiURaeKCBBkuh7O52_q41Oo77ehYt&index=10&ab_channel=Manel
6,Benvolgut,Manel,5,Pop,Acoustic,Male,130,https://www.youtube.com/watch?v=owjCapRakYU&list=OLAK5uy_ksj5Lfk856QGc-ZSnjxOKE_CW8rE-JP9E&ab_channel=Manel-Topic
7,La cançó del soldadet,Manel,5,Pop,Acoustic,Male,160,https://www.youtube.com/watch?v=8zW0Fl6gi5g&list=OLAK5uy_ksj5Lfk856QGc-ZSnjxOKE_CW8rE-JP9E&index=2&ab_channel=Manel-Topic
8,Boomerang,Manel,5,Pop,Acoustic,Male,130,https://www.youtube.com/watch?v=uw3IoBlJ6Nw&list=OLAK5uy_ksj5Lfk856QGc-ZSnjxOKE_CW8rE-JP9E&index=4&ab_channel=Manel
9,El gran salt,Manel,5,Pop,Acoustic,Male,140,https://www.youtube.com/watch?v=pzomaZMbrfw&list=OLAK5uy_ksj5Lfk856QGc-ZSnjxOKE_CW8rE-JP9E&index=3&ab_channel=Manel-Topic
10,"Deixa-la, Toni, deixa-la",Manel,5,Pop,Acoustic,Male,110,https://www.youtube.com/watch?v=xA3tPtOkoyk&list=OLAK5uy_ksj5Lfk856QGc-ZSnjxOKE_CW8rE-JP9E&index=10&ab_channel=Manel-Topic
11,Batiscafo Katiuscas,Antònia Font,5,Pop,Acoustic & Electronic,Male,98,https://www.youtube.com/watch?v=vqzA3h_XGLs&list=OLAK5uy_l7c1cv3dgwk0DfVEjFMe2g0Qm7bjJ1LFI&index=2&ab_channel=Ant%C3%B2niaFont-Topic
12,Wa Yeah!,Antònia Font,5,Pop,Acoustic & Electronic,Male,134,https://www.youtube.com/watch?v=CyceHyj0Ea8&list=OLAK5uy_l7c1cv3dgwk0DfVEjFMe2g0Qm7bjJ1LFI&index=3&ab_channel=Ant%C3%B2niaFont
13,Tokio M'és Igual,Antònia Font,5,Pop,Acoustic & Electronic,Male,116,https://www.youtube.com/watch?v=KsR2tgQPGRw&list=OLAK5uy_l7c1cv3dgwk0DfVEjFMe2g0Qm7bjJ1LFI&index=4&ab_channel=Ant%C3%B2niaFont-Topic
14,Amazones a Sa Iluna,Antònia Font,5,Pop,Acoustic & Electronic,Male,100,https://www.youtube.com/watch?v=_ThCokewta8&list=OLAK5uy_l7c1cv3dgwk0DfVEjFMe2g0Qm7bjJ1LFI&index=5&ab_channel=Ant%C3%B2niaFont-Topic
15,Darrera una Revista,Antònia Font,2,Pop,Acoustic,Male,128,https://www.youtube.com/watch?v=Jl54LDSwpUI&list=OLAK5uy_l7c1cv3dgwk0DfVEjFMe2g0Qm7bjJ1LFI&index=6&ab_channel=Ant%C3%B2niaFont-Topic
