ID,Song Name,Band,Instrumentation,Genre,Acoustic vs Electronic,Gender Voice,Bpm,YT Link
QUU_QC0iNi0,"Ai, Dolors",Manel,5,Pop,Acoustic,Male,130,https://www.youtube.com/watch?v=QUU_QC0iNi0&list=PLnZVsiURaeKCBBkuh7O52_q41Oo77ehYt&index=3&ab_channel=Manel
Yjzjvijvd0k,Roma,Manel,5,Pop,Acoustic,Male & Female,100,https://www.youtube.com/watch?v=Yjzjvijvd0k&list=PLnZVsiURaeKCBBkuh7O52_q41Oo77ehYt&index=6&ab_channel=Manel
IKtzww4RFDc,Al mar!,Manel,5,Pop,Acoustic,Male,150,https://www.youtube.com/watch?v=IKtzww4RFDc&list=PLnZVsiURaeKCBBkuh7O52_q41Oo77ehYt&index=8&ab_channel=Manel
mtTO1FvcNw4,Els guapos són els raros,Manel,5,Pop,Acoustic,Male,75,https://www.youtube.com/watch?v=mtTO1FvcNw4&list=PLnZVsiURaeKCBBkuh7O52_q41Oo77ehYt&index=9&ab_channel=Manel
eieGq5l4bVk,Dona estrangera,Manel,5,Pop,Acoustic,Male,120,https://www.youtube.com/watch?v=eieGq5l4bVk&list=PLnZVsiURaeKCBBkuh7O52_q41Oo77ehYt&index=10&ab_channel=Manel
owjCapRakYU,Benvolgut,Manel,5,Pop,Acoustic,Male,130,https://www.youtube.com/watch?v=owjCapRakYU&list=OLAK5uy_ksj5Lfk856QGc-ZSnjxOKE_CW8rE-JP9E&ab_channel=Manel-Topic
8zW0Fl6gi5g,La cançó del soldadet,Manel,5,Pop,Acoustic,Male,160,https://www.youtube.com/watch?v=8zW0Fl6gi5g&list=OLAK5uy_ksj5Lfk856QGc-ZSnjxOKE_CW8rE-JP9E&index=2&ab_channel=Manel-Topic
uw3IoBlJ6Nw,Boomerang,Manel,5,Pop,Acoustic,Male,130,https://www.youtube.com/watch?v=uw3IoBlJ6Nw&list=OLAK5uy_ksj5Lfk856QGc-ZSnjxOKE_CW8rE-JP9E&index=4&ab_channel=Manel
pzomaZMbrfw,El gran salt,Manel,5,Pop,Acoustic,Male,140,https://www.youtube.com/watch?v=pzomaZMbrfw&list=OLAK5uy_ksj5Lfk856QGc-ZSnjxOKE_CW8rE-JP9E&index=3&ab_channel=Manel-Topic
xA3tPtOkoyk,"Deixa-la, Toni, deixa-la",Manel,5,Pop,Acoustic,Male,110,https://www.youtube.com/watch?v=xA3tPtOkoyk&list=OLAK5uy_ksj5Lfk856QGc-ZSnjxOKE_CW8rE-JP9E&index=10&ab_channel=Manel-Topic
vqzA3h_XGLs,Batiscafo Katiuscas,Antònia Font,5,Pop,Acoustic & Electronic,Male,98,https://www.youtube.com/watch?v=vqzA3h_XGLs&list=OLAK5uy_l7c1cv3dgwk0DfVEjFMe2g0Qm7bjJ1LFI&index=2&ab_channel=Ant%C3%B2niaFont-Topic
CyceHyj0Ea8,Wa Yeah!,Antònia Font,5,Pop,Acoustic & Electronic,Male,134,https://www.youtube.com/watch?v=CyceHyj0Ea8&list=OLAK5uy_l7c1cv3dgwk0DfVEjFMe2g0Qm7bjJ1LFI&index=3&ab_channel=Ant%C3%B2niaFont
KsR2tgQPGRw,Tokio M'és Igual,Antònia Font,5,Pop,Acoustic & Electronic,Male,116,https://www.youtube.com/watch?v=KsR2tgQPGRw&list=OLAK5uy_l7c1cv3dgwk0DfVEjFMe2g0Qm7bjJ1LFI&index=4&ab_channel=Ant%C3%B2niaFont-Topic
_ThCokewta8,Amazones a Sa Iluna,Antònia Font,5,Pop,Acoustic & Electronic,Male,100,https://www.youtube.com/watch?v=_ThCokewta8&list=OLAK5uy_l7c1cv3dgwk0DfVEjFMe2g0Qm7bjJ1LFI&index=5&ab_channel=Ant%C3%B2niaFont-Topic
Jl54LDSwpUI,Darrera una Revista,Antònia Font,2,Pop,Acoustic,Male,128,https://www.youtube.com/watch?v=Jl54LDSwpUI&list=OLAK5uy_l7c1cv3dgwk0DfVEjFMe2g0Qm7bjJ1LFI&index=6&ab_channel=Ant%C3%B2niaFont-Topic
FNkfGgrxmPA,Me Sobren Paraules,Antònia Font,2,Pop,Acoustic,Male,160,https://www.youtube.com/watch?v=FNkfGgrxmPA&list=OLAK5uy_mKj78xlspKAl1dISS7kKyE-dXzL1NH_f8&ab_channel=Ant%C3%B2niaFont-Topic
xW2pMONE10w,Clint Eastwood,Antònia Font,3,Pop,Acoustic,Male,82,https://www.youtube.com/watch?v=xW2pMONE10w&list=OLAK5uy_mKj78xlspKAl1dISS7kKyE-dXzL1NH_f8&index=5&ab_channel=Ant%C3%B2niaFont
5jZGuwx9uC8,Icebergs i gèisers,Antònia Font,3,Pop,Acoustic,Male,80,https://www.youtube.com/watch?v=5jZGuwx9uC8&list=OLAK5uy_mKj78xlspKAl1dISS7kKyE-dXzL1NH_f8&index=6&ab_channel=Ant%C3%B2niaFont-Topic
TSZeqa0T0O4,Calgary 88,Antònia Font,5,Pop,Acoustic & Electronic,Male,158,https://www.youtube.com/watch?v=TSZeqa0T0O4&list=OLAK5uy_mKj78xlspKAl1dISS7kKyE-dXzL1NH_f8&index=7&ab_channel=Ant%C3%B2niaFont
DfBMq579IGQ,Es far de Ses Salines,Antònia Font,3,Pop,Acoustic,Male,102,https://www.youtube.com/watch?v=DfBMq579IGQ&list=OLAK5uy_mKj78xlspKAl1dISS7kKyE-dXzL1NH_f8&index=12&ab_channel=Ant%C3%B2niaFont-Topic
FhJR6OO1X8Y,Jenifer,Catarres,4,Pop,Acoustic & Electronic,Male & Female,95,https://youtu.be/FhJR6OO1X8Y
KcxeiIK9VoU,Caramelles,Catarres,2,Pop,Acoustic,Male,125,https://youtu.be/KcxeiIK9VoU
